"Timestamp","career","salary","nation","country","background","years","bioinformatics","position","papers","author","like","dislike","happy","tools","applications","future","question","languages"
07/02/2008 09:51:00,"academia",25000,"europe","europe","bio",4,"Structural Bioinformatics","Masters / PhD / Entry Level",6,4,"The area of bioinformatics you work in, The work you do day-to-day, Flexibility of hours and holidays","The aims of the faculty/company you work for",9,"blast, pints, stamp","NA",57.5,"as more data is being constantly generated, but also experimental technologies are developing to be much faster than they used to be, i believe that bioinformatics will advance much faster and in ten years time people will trust it more and will be able to understand its capabilities and limitations so that they will be able to use it in a clever way to design their experiments and generate new knowledge more efficiently, and not let all this potential of bioinformatics go to waste because of lack of understanding. also, it is already the case, but the more data there is the more necessary bioinformatics will be for analyzing this data. of course at some point this will reach a plateau like everything and it will have to adapt to whatever is needed at the time and i don't know if this will be before or after the ten years time.","Perl"
07/02/2008 19:47:00,"academia",84000,"NA","NA","NA",9,"Genome analysis, Sequence analysis, Gene expression, Data and Text Mining, Databases and Ontologies","Professor / Senior Managment",40,20,"The area of bioinformatics you work in, The work you do day-to-day, Your relationship with your collegues","Your relationship with your manager/boss, The pay, The aims of the faculty/company you work for",8,"sequence search tools, blast, blat, bioconductor, genepattern","google, ucsc genome broswer, ncbi, david, etc",20,"more people in the fields, more heavy duty jobs, engaged with more inverstigators/projects","Perl, C/C++, R, SQL, Linux Shell scripts"
07/02/2008 12:49:00,"government",65000,"europe","europe","bio",6,"Genome analysis, Sequence analysis, Genetics and population analysis, Data and Text Mining","Senior Post doc / Senior Scientist",25,10,"The area of bioinformatics you work in, The work you do day-to-day, The aims of the faculty/company you work for","Writing papers, Flexibility of hours and holidays",9,"glimmer,blast,amoscmp,act","clockingit,google docs,doku wiki",30,"as an integral part of every aspect of life science as volumes of data make computational storage, processing and analysis essential","Java, Ruby, R, php"
07/03/2008 01:01:00,"industry",53000,"north america","north america","eng",5,"Genome analysis, Sequence analysis, Phylogenetics, Databases and Ontologies","Masters / PhD / Entry Level",1,1,"The work you do day-to-day, Your relationship with your manager/boss",,10,"blast, glimmer, ssearch","NA",,"NA","Python, C/C++"
07/02/2008 05:18:00,"academia",41000,"north america","north america","bio",4,"Genome analysis, Sequence analysis, Phylogenetics, Genetics and population analysis","Post Doc / Research Scientist",5,4,"The area of bioinformatics you work in, The work you do day-to-day",,8,"dawg, ngila","movabletype, trac, subversion",30,"NA","Perl, Ruby, C/C++, R"
07/02/2008 18:12:00,"industry",40000,"north america","north america","math",10,"Genome analysis, Sequence analysis, Data and Text Mining, Databases and Ontologies","Professor / Senior Managment",2,5,"The area of bioinformatics you work in, Your achievements so far in your career, The aims of the faculty/company you work for","Writing papers",7,"ones i have written myself","my own website, hotmail, google","NA","it's all about the data","Perl, Java, C/C++"
07/04/2008 08:40:00,"industry",3000,"NA","NA","NA",1,"Sequence analysis, Phylogenetics, Data and Text Mining","Masters / PhD / Entry Level",1,0,,"Your achievements so far in your career, The pay",7,"phylogene,,hex,cn3d,primerdesign,clc bio","google",10,"top most","Java, C/C++, Matlab"
07/02/2008 18:56:00,"non-profit",15200,"NA","NA","bio",15,"Genome analysis, Sequence analysis, Gene expression, Systems Biology, Data and Text Mining","Professor / Senior Managment",46,30,"The area of bioinformatics you work in, Your achievements so far in your career, Your relationship with your collegues",,10,"various alignment and assembly programs, ensembl, sas/jmp-genomics, db/sql, various algorithmic data and text mining tools.","web applications are not an important part of my work.",12.5,"leaving the assumptions of data, etc., to the pretty easy extrapolations of existing and new technologies, i see us as developing methods for data mining and predictions that are not unlike those used in computational fluid dynamics.  computational gene dynamics, evolutionary dynamics, phenotype design.  no longer able to address data at a textual level, we will follow the path of other fields, developing a visual language for genomics to be able to get our minds around what we have unearthed.","Perl, Java, Ruby"
07/02/2008 18:10:00,"academia",88000,"north america","north america","cs",17,"Sequence analysis, Databases and Ontologies","Masters / PhD / Entry Level",12,5,"The area of bioinformatics you work in, The work you do day-to-day, Your relationship with your manager/boss, The aims of the faculty/company you work for, Flexibility of hours and holidays","The work you do day-to-day, Your achievements so far in your career",6,"NA","NA","NA","NA","Perl, Java"
07/02/2008 18:59:00,"industry",200000,"north america","north america","bio/cs",22,"Structural Bioinformatics, Gene expression, Systems Biology, Data and Text Mining, Databases and Ontologies","PI / Group Leader / Team Leader",1,0,"The area of bioinformatics you work in, Your relationship with your collegues, The aims of the faculty/company you work for","Writing papers, Flexibility of hours and holidays",9,"i use the internal tools i (we) build + huge open & proprietary dbs of content.","almost all of our applications are web based both internally and externally.",3,"handling even more massive amounts of data. security of data a joke.  pathways nailed. merged with synthetic biology. species meld.","Perl, Java, C/C++, R"
